"title","isbn","authors","us_price","url"
"Programming the Perl DBI","1-56592-699-4","Alligator, Tim Bunce","$34.95","http://www.oreilly.com/catalog/perldbi/"
"Solaris 8 Administrator's Guide","0-596-00073-1","Paul Watters","$39.95","http://www.oreilly.com/catalog/solaris8/"
"Volume 4M: X Toolkit Intrinsics Programming Manual","1-56592-013-9","Tim O'Reilly, Adrian Nye","$34.95","http://www.oreilly.com/catalog/v4m/"
"ActionScript: The Definitive Guide","1-56592-852-0","Colin Moock","$39.95","http://www.oreilly.com/catalog/actscript/"
"UNIX Systems Programming for SVR4","1-56592-163-1","Dave Curry","$34.95","http://www.oreilly.com/catalog/usp/"
"When You Can't Find Your UNIX System Administrator","1-56592-104-6","Linda Mui","$17.95","http://www.oreilly.com/catalog/usa/"
"Incident Response","0-596-00130-4","Kenneth R. van Wyk, Richard Forno","$34.95","http://www.oreilly.com/catalog/incidentres/"
"Oracle PL/SQL Programming Guide to Oracle8i Features","1-56592-675-7","Steven Feuerstein","$29.95","http://www.oreilly.com/catalog/ornewfeatures/"
"System Performance Tuning, 2nd Edition","0-596-00284-X","Gian-Paolo D. Musumeci, Mike Loukides","$39.95","http://www.oreilly.com/catalog/spt2/"
"COM+ Programming with Visual Basic","1-56592-840-7","Jose Mojica","$34.95","http://www.oreilly.com/catalog/compluspvb/"
"Learning Java","1-56592-718-4","Pat Niemeyer, Jonathan Knudsen","$39.95","http://www.oreilly.com/catalog/learnjava/"
"The Linux Web Server CD Bookshelf","0-59600-208-4","O'Reilly & Associates, Inc.","$79.95","http://www.oreilly.com/catalog/linuxwebcdbs/"
"The Networking CD Bookshelf","1-56592-523-8","O'Reilly & Associates, Inc.","$79.95","http://www.oreilly.com/catalog/netcd/"
"Oracle Net8 Configuration and Troubleshooting","1-56592-753-2","Hugo Toledo, Jonathan Gennick","$39.95","http://www.oreilly.com/catalog/net8trouble/"
"POSIX.4","1-56592-074-0","Bill Gallmeister","$39.95","http://www.oreilly.com/catalog/posix4/"
"Windows NT in a Nutshell","1-56592-251-4","Eric Pearce","$24.95","http://www.oreilly.com/catalog/winnut/"
"Enterprise JavaBeans, 3rd Edition","0-596-00226-2","Richard Monson-Haefel","$44.95","http://www.oreilly.com/catalog/entjbeans3/"
"Web Database Applications with PHP & MySQL","0-596-00041-3","Hugh E. Williams, David Lane","$44.95","http://www.oreilly.com/catalog/webdbapps/"
"Beginning Perl for Bioinformatics","0-596-00080-4","James Tisdall","$39.95","http://www.oreilly.com/catalog/begperlbio/"
"HTML Pocket Reference, 2nd Edition","0-596-00296-3","Jennifer Niederst","$12.95","http://www.oreilly.com/catalog/htmlpr2/"
"Samba Pocket Reference","0-59600-099-5","Robert Eckstein, David Collier-Brown, Peter Kelly","$9.95","http://www.oreilly.com/catalog/sambapr/"
"SAX2","0-596-00237-8","David Brownell","$29.95","http://www.oreilly.com/catalog/sax2/"
"Java Servlet Programming, 2nd Edition","0-596-00040-5","Jason Hunter, William Crawford","$44.95","http://www.oreilly.com/catalog/jservlet2/"
"Practical PostgreSQL","1-56592-846-6","John C. Worsley, Joshua D. Drake","$44.95","http://www.oreilly.com/catalog/ppostgresql/"
"SQL in a Nutshell","1-56592-744-3","Kevin Kline, Daniel Kline, Ph.D.","$29.95","http://www.oreilly.com/catalog/sqlnut/"
"Outlook Annoyances","1-56592-384-7","Woody Leonhard, Lee Hudspeth, T. J. Lee","$24.95","http://www.oreilly.com/catalog/outannoy/"
"HTTP Pocket Reference","1-56592-862-8","Clinton Wong","$9.95","http://www.oreilly.com/catalog/httppr/"
"Physics for Game Developers","0-596-00006-5","David M. Bourg","$39.95","http://www.oreilly.com/catalog/physicsgame/"
"Pthreads Programming","1-56592-115-1","Bradford Nichols, Dick Buttlar, Jacqueline Proulx Farrell","$34.95","http://www.oreilly.com/catalog/pthread/"
"Oracle SQL*Loader: The Definitive Guide","1-56592-948-9","Jonathan Gennick, Sanjay Mishra","$34.95","http://www.oreilly.com/catalog/orsqlloader/"
"Using csh &amp; tcsh","1-56592-132-1","Paul DuBois","$29.95","http://www.oreilly.com/catalog/tcsh/"
"SCO UNIX in a Nutshell","1-56592-037-6","Ellie Cutler, The staff of O'Reilly & Associates","$29.95","http://www.oreilly.com/catalog/sco/"
"Oracle Design","1-56592-268-9","Dave Ensor, Ian Stevenson","$39.95","http://www.oreilly.com/catalog/oracledes/"
"Server Load Balancing","0-596-00050-2","Tony Bourke","$34.95","http://www.oreilly.com/catalog/serverload/"
"Volume 5: X Toolkit Intrinsics Reference Manual","1-56592-007-4","David Flanagan","$44.95","http://www.oreilly.com/catalog/v5/"
"Tcl/Tk in a Nutshell","1-56592-433-9","Paul Raines, Jeff Tranter","$29.95","http://www.oreilly.com/catalog/tclnut/"
"Oracle SQL*Plus Pocket Reference","1-56592-941-1","Jonathan Gennick","$9.95","http://www.oreilly.com/catalog/orsqlpluspr/"
"Perl 5 Pocket Reference, 3rd Edition","0-596-00032-4","Johan Vromans","$9.95","http://www.oreilly.com/catalog/perlpr3/"
"Java Examples in a Nutshell, 2nd Edition","0-596-00039-1","David Flanagan","$29.95","http://www.oreilly.com/catalog/jenut2/"
"Cisco IOS Access Lists","1-56592-385-5","Jeff Sedayao","$39.95","http://www.oreilly.com/catalog/cisrtlist/"
"Dreamweaver 4: The Missing Manual","0-596-00097-9","Dave McFarland","$24.95","http://www.oreilly.com/catalog/dreamweavermm/"
"Oracle PL/SQL Developer's Workbook","1-56592-674-9","Steven Feuerstein, Andrew","$36.95","http://www.oreilly.com/catalog/ordevworkbook/"
"Access Cookbook","0-596-00084-7","Paul Litwin, Ken Getz, Andy Baron","$49.95","http://www.oreilly.com/catalog/accesscook/"
"Perl for Web Site Management","1-56592-647-1","John Callender","$34.95","http://www.oreilly.com/catalog/perlwsmng/"
"Managing the Windows 2000 Registry","1-56592-943-8","Paul Robichaux","$39.95","http://www.oreilly.com/catalog/mwin2reg/"
"Java in a Nutshell, 4th Edition","0-596-00283-1","David Flanagan","$39.95","http://www.oreilly.com/catalog/javanut4/"
"Oracle Distributed Systems","1-56592-432-0","Charles Dye","$39.95","http://www.oreilly.com/catalog/ordistsys/"
"Transact-SQL Cookbook","1-56592-756-7","Ales Spetic, Jonathan Gennick","$34.95","http://www.oreilly.com/catalog/transqlcook/"
"Checking C","0-937175-30-7","Ian Darwin","$12.95","http://www.oreilly.com/catalog/lint/"
"Java Web Services","0-596-00269-6","Tyler Jewell, David Chappell","$39.95","http://www.oreilly.com/catalog/javawebserv/"
"Java Programming with Oracle JDBC","0-596-00088-x","Donald Bales","$39.95","http://www.oreilly.com/catalog/jorajdbc/"
"T1: A Survival Guide","0-596-00127-4","Matthew Gast","$29.95","http://www.oreilly.com/catalog/t1survival/"
"Network Troubleshooting Tools","0-596-00186-X","Joseph D. Sloan","$39.95","http://www.oreilly.com/catalog/nettroubletools/"
"Learning Wireless Java","0-59600-243-2","Qusay Mahmoud","$34.95","http://www.oreilly.com/catalog/wirelessjava/"
"Writing GNU Emacs Extensions","1-56592-261-1","Bob Glickstein","$32.95","http://www.oreilly.com/catalog/gnuext/"
"Hardening Cisco Routers","0-596-00166-5","Thomas Akin","$24.95","http://www.oreilly.com/catalog/hardcisco/"
"Windows Me Annoyances","0-596-00060-X","David A. Karp","$29.95","http://www.oreilly.com/catalog/winmeannoy/"
"Mastering Algorithms with C","1-56592-453-3","Kyle Loudon","$39.95","http://www.oreilly.com/catalog/masteralgoc/"
"VB .NET Language in a Nutshell","0-596-00092-8","Steven Roman, Ron Petrusha, Paul Lomax","$34.95","http://www.oreilly.com/catalog/vbdotnetnut/"
"Developing ASP Components, 2nd Edition","1-56592-750-8","Shelley Powers","$49.95","http://www.oreilly.com/catalog/devaspcom2/"
"MCSD in a Nutshell: The Visual Basic Exams","1-56592-752-4","James Foxall, MCSD","$29.95","http://www.oreilly.com/catalog/mcsdnut/"
"User Friendly","1-56592-673-0","Illiad","$12.95","http://www.oreilly.com/catalog/friendly/"
"Programming Perl, 3rd Edition","0-596-00027-8","Larry Wall, Tom Christiansen, Jon Orwant","$49.95","http://www.oreilly.com/catalog/pperl3/"
"Managing Projects with make, 2nd Edition","0-937175-90-0","Andy Oram, Steve Talbott","$19.95","http://www.oreilly.com/catalog/make2/"
"Oracle8i Internal Services for Waits, Latches, Locks and Memory","1-56592-598-X","Steve Adams","$19.95","http://www.oreilly.com/catalog/orinternals/"
"Learning the Korn Shell","1-56592-054-6","Bill Rosenblatt","$34.95","http://www.oreilly.com/catalog/korn/"
"Cisco IOS in a Nutshell","1-56592-942-X","James Boney","$34.95","http://www.oreilly.com/catalog/cisiosnut/"
"Using Samba","1-56592-449-5","Robert Eckstein, David, Peter Kelly","$34.95","http://www.oreilly.com/catalog/samba/"
"Programming with Qt, 2nd Edition","0-596-00064-2","Matthias Kalle Dalheimer","$39.95","http://www.oreilly.com/catalog/prowqt2/"
"Mastering Oracle SQL","0-596-00129-0","Sanjay Mishra, Alan Beaulieu","$34.95","http://www.oreilly.com/catalog/mastorasql/"
"The Oracle PL/SQL CD Bookshelf","1-56592-849-0","O'Reilly & Associates, Inc.","$89.95","http://www.oreilly.com/catalog/oraclecdbs/"
"XSLT","0-596-00053-7","Doug Tidwell","$39.95","http://www.oreilly.com/catalog/xslt/"
"C# & VB.NET Conversion Pocket Reference","0-596-00319-6","Jose Mojica","$14.95","http://www.oreilly.com/catalog/csharpvbpr/"
"VB.NET Language in a Nutshell, 2nd Edition","0-596-00308-0","Steven Roman, Ron Petrusha, Paul Lomax","$44.95","http://www.oreilly.com/catalog/vbdotnetnut2/"
"Computer Security Basics","0-937175-71-4","Debby Russell, G.T. Gangemi, Sr.","$29.95","http://www.oreilly.com/catalog/csb/"
"DAO Object Model: The Definitive Reference","1-56592-435-5","Helen Feddema","$34.95","http://www.oreilly.com/catalog/progacdao/"
"Mac OS 9: The Missing Manual","1-56592-857-1","David Pogue","$19.95","http://www.oreilly.com/catalog/macosmm/"
"Programming C#, 2nd Edition","0-596-00309-9","Jesse Liberty","$39.95","http://www.oreilly.com/catalog/progcsharp2/"
"Advanced Perl Programming","1-56592-220-4","Sriram Srinivasan","$34.95","http://www.oreilly.com/catalog/advperl/"
"Programming with curses","0-937175-02-1","John Strang","$14.95","http://www.oreilly.com/catalog/curses/"
"Open Sources","1-56592-582-3","Chris DiBona, Sam Ockman, Mark Stone","$24.95","http://www.oreilly.com/catalog/opensources/"
"Designing and Programming CICS Applications","1-56592-676-5","John Horswill, Members of the CICS Development Team at IBM Hursley","$44.95","http://www.oreilly.com/catalog/cics/"
"Oracle PL/SQL Programming, 2nd Edition","1-56592-335-9","Steven Feuerstein, Bill Pribyl","$49.95","http://www.oreilly.com/catalog/oraclep2/"
"Practical UNIX &amp; Internet Security, 2nd Edition","1-56592-148-8","Simson Garfinkel, Gene Spafford","$44.95","http://www.oreilly.com/catalog/puis/"
"C# Essentials, 2nd Edition","0-596-00315-3","Ben Albahari, Peter Drayton, Brad Merrill","$24.95","http://www.oreilly.com/catalog/csharpess2/"
"Perl in a Nutshell","1-56592-286-7","Ellen Siever, Stephen Spainhour, Nate Patwardhan","$34.95","http://www.oreilly.com/catalog/perlnut/"
"Oracle Web Applications","1-56592-687-0","Andrew Odewahn","$29.95","http://www.oreilly.com/catalog/oracleweb/"
"BEEP: The Definitive Guide","0-596-00244-0","Marshall T. Rose","$34.95","http://www.oreilly.com/catalog/beep/"
"Managing &amp; Using MySQL, 2nd Edition","0-596-00211-4","George Reese, Randy Jay Yarger, Tim King","$39.95","http://www.oreilly.com/catalog/msql2/"
"Windows NT Desktop Reference","1-56592-437-1","&AElig;leen Frisch","$9.95","http://www.oreilly.com/catalog/winntdr/"
"AppleWorks 6: The Missing Manual","1-56592-858-X","Jim Elferdink, David Reynolds","$19.95","http://www.oreilly.com/catalog/aplwrksmm/"
"Oracle SQL: The Essential Reference","1-56592-697-8","David C. Kreines","$39.95","http://www.oreilly.com/catalog/orsqlter/"
"Windows 2000 Quick Fixes","0-596-00017-0","Jim Boyce","$29.95","http://www.oreilly.com/catalog/qfwin2000/"
"Perl/Tk Pocket Reference","1-56592-517-3","Stephen Lidie","$9.95","http://www.oreilly.com/catalog/perltkpr/"
"DNS on Windows 2000","0-596-00230-0","Matt Larson, Cricket Liu","$39.95","http://www.oreilly.com/catalog/dnswin2/"
"Win32 Multithreaded Programming","1-56592-296-4","Aaron Cohen, Mike","$49.95","http://www.oreilly.com/catalog/multithread/"
"Lingo in a Nutshell","1-56592-493-2","Bruce A. Epstein","$24.95","http://www.oreilly.com/catalog/lingonut/"
"sed & awk Pocket Reference, Second Edition","0-596-00352-8","Arnold Robbins","$12.95","http://www.oreilly.com/catalog/sedawkrepr2/"
"Linux in a Nutshell, 3rd Edition","0-596-00025-1","Ellen Siever, Stephen Spainhour, Jessica P. Hekman, Stephen Figgins","$34.95","http://www.oreilly.com/catalog/linuxnut3/"
"Windows Me: The Missing Manual","0-596-00009-X","David Pogue","$19.95","http://www.oreilly.com/catalog/winmemm/"
"Building Internet Firewalls, 2nd Edition","1-56592-871-7","Elizabeth D. Zwicky, Simon Cooper, D. Brent Chapman","$49.95","http://www.oreilly.com/catalog/fire2/"
"Python &amp; XML","0-596-00128-2","Christopher A. Jones, Fred L. Drake, Jr.","$39.95","http://www.oreilly.com/catalog/pythonxml/"
"Java 2D Graphics","1-56592-484-3","Jonathan Knudsen","$29.95","http://www.oreilly.com/catalog/java2d/"
"PalmPilot: The Ultimate Guide, 2nd Edition","1-56592-600-5","David Pogue","$29.95","http://www.oreilly.com/catalog/palmpilot2/"
"UNIX Power","1-56592-260-3","Jerry Peek, Tim O'Reilly, Mike Loukides","$59.95","http://www.oreilly.com/catalog/upt2/"
"CGI Programming with Perl, 2nd Edition","1-56592-419-3","Scott Guelich, Shishir Gundavaram, Gunther Birznieks","$34.95","http://www.oreilly.com/catalog/cgi2/"
"Delphi in a Nutshell","1-56592-659-5","Ray Lischner","$29.95","http://www.oreilly.com/catalog/delphi/"
"Lotus Domino Administration in a Nutshell","1-56592-717-6","Greg Neilson","$24.95","http://www.oreilly.com/catalog/domino/"
"Windows 2000 Active Directory","1-56592-638-2","Alistair G. Lowe-Norris","$39.95","http://www.oreilly.com/catalog/win2000ads/"
"sed &amp; awk Pocket Reference","1-56592-729-X","Arnold Robbins","$9.95","http://www.oreilly.com/catalog/sedawkrepr/"
"Managing Microsoft Exchange Server","1-56592-545-9","Paul Robichaux","$39.95","http://www.oreilly.com/catalog/managexsvr/"
"Windows 2000 Commands Pocket Reference","0-596-00148-7","AEleen Frisch","$9.95","http://www.oreilly.com/catalog/win2commpr/"
"Learning the Unix Operating System, 5th","0-596-00261-0","Jerry Peek, Grace Todino, John Strang","$19.95","http://www.oreilly.com/catalog/lunix5/"
"Cascading Style Sheets: The Definitive Guide","1-56592-622-6","Eric Meyer","$34.95","http://www.oreilly.com/catalog/css/"
"Python Pocket Reference, 2nd Edition","0-59600-189-4","Mark Lutz","$11.95","http://www.oreilly.com/catalog/pythonpr2/"
"The Java Enterprise CD Bookshelf","1-56592-850-4","O'Reilly & Associates, Inc.","$89.95","http://www.oreilly.com/catalog/javacdbs/"
"Programming Web Graphics with Perl & GNU Software","1-56592-478-9","Shawn Wallace","$32.95","http://www.oreilly.com/catalog/prowg/"
"Java Performance Tuning","0-596-00015-4","Jack Shirazi","$34.95","http://www.oreilly.com/catalog/javapt/"
"Oracle PL/SQL Built-ins Pocket Reference","1-56592-456-8","Steven Feuerstein, John Beresniewicz, Chip Dawes","$8.95","http://www.oreilly.com/catalog/orbipr/"
"DocBook: The Definitive Guide","1-56592-580-7","Norman Walsh, Leonard Muellner","$36.95","http://www.oreilly.com/catalog/docbook/"
"Oracle Parallel Processing","1-56592-701-X","Tushar Mahapatra, Sanjay","$32.95","http://www.oreilly.com/catalog/oraclepp/"
