"title","isbn","authors","us_price","url"
"Programming ASP.NET","0-596-00171-1","Jesse Liberty, Dan Hurwitz","$49.95","http://www.oreilly.com/catalog/progaspdotnet/"
"Java Cookbook","0-596-00170-3","Ian Darwin","$44.95","http://www.oreilly.com/catalog/javacook/"
"Web Security, Privacy &amp; Commerce, 2nd Edition","0-596-00045-6","Simson Garfinkel, Gene Spafford","$44.95","http://www.oreilly.com/catalog/websec2/"
"Perl for System Administration","1-56592-609-9","David N. Blank-Edelman","$34.95","http://www.oreilly.com/catalog/perlsysadm/"
"Using &amp; Managing PPP","1-56592-321-9","Andrew Sun","$34.95","http://www.oreilly.com/catalog/umppp/"
"Building Wireless Community Networks","0-596-00204-1","Rob Flickenger","$24.95","http://www.oreilly.com/catalog/wirelesscommnet/"
"CSS Pocket Reference","0-596-00120-7","Eric","$9.95","http://www.oreilly.com/catalog/csspr/"
"Ruby in a Nutshell","0-59600-214-9","Yukihiro Matsumoto","$24.95","http://www.oreilly.com/catalog/ruby/"
"UNIX in a Nutshell: System V Edition, 3rd Edition","1-56592-427-4","Arnold Robbins","$29.95","http://www.oreilly.com/catalog/unixnut3/"
"Linux Device Drivers, 2nd Edition","0-59600-008-1","Alessandro Rubini, Jonathan Corbet","$39.95","http://www.oreilly.com/catalog/linuxdrive2/"
"Word 2000 in a Nutshell","1-56592-489-4","Walter Glenn","$29.95","http://www.oreilly.com/catalog/word2000ian/"
"Oracle RMAN Pocket Reference","0-596-00233-5","Darl Kuhn, Scott Schulze","$12.95","http://www.oreilly.com/catalog/rman/"
"Oracle Essentials: Oracle9","0-596-00179-7","Rick Greenwald, Robert Stackowiak, Jonathan Stern","$34.95","http://www.oreilly.com/catalog/oressentials2/"
"Designing Large-Scale LANs","0-596-00150-9","Kevin Dooley","$39.95","http://www.oreilly.com/catalog/lgscalelans/"
"SSH, The Secure Shell: The Definitive","0-596-00011-1","Daniel J. Barrett, Ph.D., Richard Silverman","$39.95","http://www.oreilly.com/catalog/sshtdg/"
"Mastering Regular Expressions","1-56592-257-3","Jeffrey E. F. Friedl","$34.95","http://www.oreilly.com/catalog/regex/"
"Learning the Korn Shell, 2nd Edition","0-596-00195-9","Bill Rosenblatt, Arnold Robbins","$34.95","http://www.oreilly.com/catalog/korn2/"
"sendmail, 2nd Edition","1-56592-222-0","Bryan Costales, Eric Allman","$49.95","http://www.oreilly.com/catalog/sendmail2/"
"Free as in Freedom","0-596-00287-4","Sam Williams","$22.95","http://www.oreilly.com/catalog/freedom/"
"Python Standard Library","0-596-00096-0","Fredrik","$29.95","http://www.oreilly.com/catalog/pythonsl/"
"The Web Design CD Bookshelf","0-596-00271-8","O'Reilly & Associates, Inc.","$79.95","http://www.oreilly.com/catalog/webcdbk/"
"Windows NT TCP/IP Network Administration","1-56592-377-4","Craig Hunt, Robert Bruce Thompson","$37.95","http://www.oreilly.com/catalog/wintcp/"
"MCSE in a Nutshell: The Windows 2000 Exams","0-596-00030-8","Michael Moncur, Paul Murphy","$29.95","http://www.oreilly.com/catalog/mcseian/"
"Oracle Performance Tuning, 2nd Edition","1-56592-237-9","Mark Gurry, Peter Corrigan","$49.95","http://www.oreilly.com/catalog/oracle2/"
